商品コード,大分類コード,小分類コード,商品名
0001,001,01,BZ_205-3
0002,001,01,BZ_205-4
0003,001,01,BZ_205-5
0004,001,01,BZ_205-6
0005,001,01,BZ_205-7
0006,001,02,AZ_205-1
0007,001,02,AZ_205-2
0008,001,02,AZ_205-3
0009,001,02,AZ_205-4
0010,001,02,AZ_205-5
0011,002,01,CZ_205-3
0012,002,01,CZ_205-4
0013,002,01,CZ_205-5
0014,002,01,CZ_205-6
0015,002,01,CZ_205-7
0016,002,02,DZ_205-1
0017,002,02,DZ_205-2
0018,002,02,DZ_205-3
0019,002,02,DZ_205-4
0020,002,02,DZ_205-5
0021,003,01,MZ_205-3
0022,003,01,MZ_205-4
0023,003,01,MZ_205-5
0024,003,01,MZ_205-6
0025,003,01,MZ_205-7
0026,003,02,KZ_205-1
0027,003,02,KZ_205-2
0028,003,02,KZ_205-3
0029,003,02,KZ_205-4
0030,003,02,KZ_205-5
